product_url                                                                                                                                                             ,product_name                                                       ,price      ,pack_size         ,inventory_left,description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,brand    ,image_urls
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/soft-drinks/carbonated-drinks/drink-mixers/quencher-strawberry-drink-2l/p/17347                         ,Quencher Strawberry Drink 2L                                       ,KES 279.00 ,2 lt              ,8             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,"['https://cdnprod.mafretailproxy.com/sys-master-root/hf5/h28/16813629276190/17347_main.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/hfb/h35/12462945009694/17347_Main.jpg_200Wx200H']"
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/soft-drinks/carbonated-drinks/drink-mixers/highlands-cordial-orange-5l/p/280                            ,Highlands Cordial Orange Juice 5 lt                                ,KES 659.00 ,5 lt              ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,"['https://cdnprod.mafretailproxy.com/sys-master-root/hb0/haf/17307450998814/280_main.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/hfb/h1d/12461796655134/280_Main.jpg_200Wx200H']"
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/juices/long-life-juices-smoothies/nectar-fruit-juice/treetop-apple-juice-blend-tetra-1l/p/94931         ,Treetop Apple Juice Blend Tetra 1 lt                               ,KES 194.00 ,1 lt              ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,['https://cdnprod.mafretailproxy.com/sys-master-root/hf2/hbb/12464010428446/94931_Main.jpg_200Wx200H']
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/soft-drinks/carbonated-drinks/drink-mixers/highlands-cordial-tropical-5l/p/283                          ,Highlands Cordial Tropical Juice 5 lt                              ,KES 659.00 ,5 lt              ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,"['https://cdnprod.mafretailproxy.com/sys-master-root/hd3/h2a/17307453292574/283_main.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/h91/h87/12461797638174/283_Main.jpg_200Wx200H']"
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/soft-drinks/carbonated-drinks/drink-mixers/quencher-tangerine-drink-2l/p/17333                          ,Quencher Tangerine Flavoured Juice 2 lt                            ,KES 285.00 ,2 lt              ,4             ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,['https://cdnprod.mafretailproxy.com/sys-master-root/hd6/h9e/12462926331934/17333_Main.jpg_200Wx200H']
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/soft-drinks/carbonated-drinks/drink-mixers/quencher-fizto-m-f-drink-2l/p/17352                          ,Quencher Fizto M.F. Drink 2L                                       ,KES 279.00 ,2 lt              ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,"['https://cdnprod.mafretailproxy.com/sys-master-root/he2/h99/16813625999390/17352_main.jpg_200Wx200H', 'https://cdnprod.mafretailproxy.com/sys-master-root/hb0/h9c/12462952218654/17352_Main.jpg_200Wx200H']"
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/juices/syrups-concentrate/cordial-drinks/quencher-cordial-mangocolada-2l/p/143959                       ,QUENCHER CORDIAL MANGOCOLADA 2L                                    ,KES 285.00 ,                  ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,['https://cdnprod.mafretailproxy.com/sys-master-root/hbf/he0/17130697719838/143959_main.jpg_200Wx200H']
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/juices/long-life-juices-smoothies/nectar-fruit-juice/tunda-juice-guava-500ml/p/148719                   ,Tunda Guava Juice 500ml                                            ,KES 65.00  ,500ml             ,              ,Tunda Guava Juice in your daily palate can be very beneficial in the long run. Guava fruit is full of minerals and nutrients that are very important for the proper functioning of the body organs. The benefits of this fruit can be derived easily from the Guava Juice. A glass full of this juice is a great alternative to the harmful aerated drinks available in the market and can bring about a refreshing change in your daily life style. The Tunda Guava Juice has an appetizing power and is ideal for consumption between the meals. The nectar is enriched with natural juice of the fruit and has no added colour and preservatives that can cause adverse side effects.                                                                                                                                                                                 ,         ,['https://cdnprod.mafretailproxy.com/sys-master-root/h63/h46/26951207190558/148719_main.jpg_200Wx200H']
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/juices/long-life-juices-smoothies/nectar-fruit-juice/treetop-orange-juice-blend-tetra-1l/p/94928        ,Treetop Orange Juice Blend Tetra 1L                                ,KES 194.00 ,                  ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,['https://cdnprod.mafretailproxy.com/sys-master-root/hb3/hcd/14741532213278/94928_main.jpg_200Wx200H']
https://www.carrefour.ke/mafken/en/root-maf-category//beverages/juices/long-life-juices-smoothies/nectar-fruit-juice/tunda-juice-apple500ml/p/123699                    ,Tunda Apple Juice 500 ml                                           ,KES 65.00  ,500 ml            ,              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,         ,['https://cdnprod.mafretailproxy.com/sys-master-root/h7d/h27/12618789224478/123699_Main.jpg_200Wx200H']
